url,label
https://www.google.com,0
https://www.github.com,0
https://www.paypal.com,0
https://www.amazon.com,0
https://www.youtube.com,0
https://www.facebook.com,0
https://www.wikipedia.org,0
https://www.linkedin.com,0
https://www.twitter.com,0
https://www.instagram.com,0
http://phishingsite.com/login,1
http://fakebank.com/verify,1
http://secure-update-account.com,1
http://update-your-password.com,1
http://confirm-your-identity.com,1
http://bit.ly/suspicious-link,1
http://tinyurl.com/fake-login,1
http://192.168.1.1/login,1
http://phishing-site.com/account,1
http://fake-paypal-login.com,1
